image;mean_delta2;std_delta2
AC0850_M.jpg;13599.945312;21967.716797
AC0835_L.jpg;11170.070312;18799.951172
AC0844_S.jpg;10198.807617;18633.976562
AC0820_L.jpg;9983.599609;17251.029297
AC0842_L.jpg;9315.215820;19188.207031
AC0838_M.jpg;9225.634766;17902.978516
AC0863_L.jpg;9090.343750;19697.755859
AC0864_L.jpg;8777.114258;18799.054688
AC0835_S.jpg;8714.946289;13316.955078
AC0820_S.jpg;8415.719727;11798.470703
AC0838_L.jpg;7347.506836;15630.733398
AC0838_S.jpg;7336.240234;13955.062500
AC0837_S.jpg;7265.967773;14058.114258
AC0870_L.jpg;6839.046875;13509.872070
AC0870_S.jpg;6616.799805;9320.367188
AC0870_M.jpg;6348.180176;10614.332031
AC0820_M.jpg;6335.069824;14144.242188
AC0835_M.jpg;6029.962402;12901.741211
AC0839_M.jpg;5968.191406;12755.496094
AC0834_M.jpg;5650.148438;12303.248047
AC0831_M.jpg;5450.807129;11642.088867
AC0836_M.jpg;5446.598633;10948.364258
AC0881_L.jpg;5340.392090;13114.583984
AC0839_L.jpg;5250.202637;13211.996094
AC0837_M.jpg;5206.465820;13530.811523
AC0832_L.jpg;5184.141113;12815.802734
AC0836_L.jpg;5102.861328;12403.771484
AC0833_M.jpg;4657.080078;11559.130859
AC0831_L.jpg;4602.157227;10369.291016
AC0832_M.jpg;4589.001465;11443.824219
AC0833_S.jpg;4472.368164;11204.575195
AC0839_S.jpg;4136.799805;11457.779297
AC0833_L.jpg;4060.677246;11694.293945
AC0832_S.jpg;3941.127930;7585.375000
AC0834_S.jpg;3926.959961;11091.150391
AC0831_S.jpg;3908.719971;9424.469727
AC0882_M.jpg;3901.889893;13748.431641
AC0836_S.jpg;3724.352051;9728.730469
AC0834_L.jpg;3420.221436;10831.695312
AC0882_S.jpg;2946.568115;7981.839844
AC0882_L.jpg;2773.642578;8363.817383
AC0813_M.jpg;2135.357178;7559.314941
AC0814_M.jpg;1679.704346;6910.367188
AC0811_M.jpg;1168.229980;3627.215088
AC0881_S.jpg;1082.744019;2193.385742
AC0811_S.jpg;1066.456055;2685.738281
AC0800_S.jpg;908.693359;1689.380859
AC0813_L.jpg;899.597351;3058.396729
AC0812_L.jpg;896.602661;3028.920166
AC0814_L.jpg;855.666687;2841.876709
AC0812_S.jpg;823.208008;2026.475342
AC0814_S.jpg;816.903992;1924.513672
AC0813_S.jpg;740.752014;2052.396729
AC0800_L.jpg;631.343323;1562.717163
AC0811_L.jpg;541.831970;2448.126221
AC0812_M.jpg;490.757141;2305.851807
AC0800_M.jpg;53.910000;149.655472
